
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server
  2026-04-18 09:03:36 /build/assets/radix-BA32w1ww.js .................................................... ~ 513.56ms
  2026-04-18 09:03:36 /build/assets/app-CHooDjz-.js ...................................................... ~ 514.59ms
  2026-04-18 09:03:36 /build/assets/vendor-react-CaJRblD1.js ............................................. ~ 515.31ms
  2026-04-18 09:03:36 /build/assets/vendor-Bdea2S_D.js ................................................... ~ 516.11ms
  2026-04-18 09:03:31 /manifest.json ........................................................................... ~ 5s
  2026-04-18 09:03:37 /js/jquery.min.js .................................................................... ~ 2.54ms
  2026-04-18 09:03:37 /_debugbar/assets/javascript ......................................................... ~ 0.24ms
  2026-04-18 09:03:37 /.well-known/appspecific/com.chrome.devtools.json ........................................ ~ 1s
  2026-04-18 09:03:38 /favicon.ico ......................................................................... ~ 0.14ms
  2026-04-18 09:03:38 /sw.js ............................................................................... ~ 0.85ms
  2026-04-18 09:05:57 /login ................................................................................... ~ 1s
  2026-04-18 09:05:58 /login ................................................................................... ~ 1s
  2026-04-18 09:05:59 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:06:00 /dashboard ......................................................................... ~ 503.82ms
  2026-04-18 09:06:01 /login ................................................................................... ~ 1s
  2026-04-18 09:06:02 /login ................................................................................... ~ 2s
  2026-04-18 09:06:04 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:06:05 /login ............................................................................. ~ 517.47ms
  2026-04-18 09:06:05 /dashboard ......................................................................... ~ 504.54ms
  2026-04-18 09:06:05 /.well-known/appspecific/com.chrome.devtools.json ........................................ ~ 1s
  2026-04-18 09:06:05 /build/assets/vendor-react-CE21K4bl.css .................................................. ~ 1s
  2026-04-18 09:06:07 /paypal/settings ................................................................... ~ 512.40ms
  2026-04-18 09:06:06 /build/assets/app-D3zpLp_v.css ........................................................... ~ 1s
  2026-04-18 09:06:07 /build/assets/app-CHooDjz-.js ...................................................... ~ 515.99ms
  2026-04-18 09:06:07 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:06:07 /build/assets/vendor-inertia-C-qOkn-4.js ................................................. ~ 1s
  2026-04-18 09:06:07 /build/assets/radix-BA32w1ww.js .......................................................... ~ 1s
  2026-04-18 09:06:07 /js/jquery.min.js ........................................................................ ~ 1s
  2026-04-18 09:06:07 /build/assets/vendor-react-CaJRblD1.js ................................................... ~ 1s
  2026-04-18 09:06:08 /manifest.json ....................................................................... ~ 3.23ms
  2026-04-18 09:06:08 /stripe/settings ................................................................... ~ 501.70ms
  2026-04-18 09:06:09 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:06:07 /build/assets/vendor-Bdea2S_D.js ......................................................... ~ 3s
  2026-04-18 09:06:10 /google-captcha/settings/update .................................................... ~ 513.99ms
  2026-04-18 09:06:10 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:06:10 /favicon.ico ............................................................................. ~ 1s
  2026-04-18 09:06:10 /sw.js ................................................................................... ~ 1s
  2026-04-18 09:08:28 /login ................................................................................... ~ 1s
  2026-04-18 09:08:28 /dashboard ............................................................................... ~ 2s
  2026-04-18 09:08:30 /js/jquery.min.js .................................................................... ~ 0.19ms
  2026-04-18 09:08:30 /manifest.json ....................................................................... ~ 0.98ms
  2026-04-18 09:08:33 /translations/en ......................................................................... ~ 1s
  2026-04-18 09:08:33 /translations/ar ......................................................................... ~ 1s
  2026-04-18 09:08:34 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:08:34 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:08:33 /favicon.ico ............................................................................. ~ 2s
  2026-04-18 09:08:34 /sw.js ................................................................................... ~ 1s
  2026-04-18 09:08:35 /storage/media/favicon.png ........................................................... ~ 4.57ms
  2026-04-18 09:08:36 /storage/media/avatar.png ............................................................ ~ 2.46ms
  2026-04-18 09:08:36 /favicon.ico ......................................................................... ~ 0.18ms
  2026-04-18 09:08:36 /manifest.json ....................................................................... ~ 1.15ms
  2026-04-18 09:08:36 /storage/media/avatar.png ............................................................ ~ 2.78ms
  2026-04-18 09:08:52 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:08:53 /_debugbar/open .................................................................... ~ 519.19ms
  2026-04-18 09:08:53 /storage/media/favicon.png ........................................................... ~ 0.32ms
  2026-04-18 09:08:54 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:08:55 /_debugbar/open .................................................................... ~ 514.84ms
  2026-04-18 09:08:56 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:08:57 /_debugbar/open .................................................................... ~ 515.98ms
  2026-04-18 09:08:57 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:08:58 /_debugbar/open .................................................................... ~ 511.37ms
  2026-04-18 09:08:59 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:00 /login ................................................................................... ~ 1s
  2026-04-18 09:09:01 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:00 /sw.js ................................................................................... ~ 2s
  2026-04-18 09:09:01 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:03 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:03 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:04 /_debugbar/open .................................................................... ~ 510.46ms
  2026-04-18 09:09:05 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:06 /_debugbar/open .......................................................................... ~ 3s
  2026-04-18 09:09:10 /hrm/employees ........................................................................... ~ 5s
  2026-04-18 09:09:15 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:16 /hrm/employees ........................................................................... ~ 2s
  2026-04-18 09:09:16 /login ................................................................................... ~ 4s
  2026-04-18 09:09:21 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:21 /hrm/employees ........................................................................... ~ 2s
  2026-04-18 09:09:23 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:24 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:25 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:26 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:27 /_debugbar/open .................................................................... ~ 499.64ms
  2026-04-18 09:09:27 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:28 /_debugbar/open .................................................................... ~ 516.92ms
  2026-04-18 09:09:29 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:30 /_debugbar/open .................................................................... ~ 500.87ms
  2026-04-18 09:09:30 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:31 /login ................................................................................... ~ 1s
  2026-04-18 09:09:31 /login ................................................................................... ~ 2s
  2026-04-18 09:09:33 .......................................................................................... ~ 1s
  2026-04-18 09:09:33 /_debugbar/open .................................................................... ~ 516.91ms
  2026-04-18 09:09:33 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:35 /_debugbar/assets/stylesheets ...................................................... ~ 504.11ms
  2026-04-18 09:09:35 /_debugbar/assets/javascript ............................................................. ~ 1s
  2026-04-18 09:09:34 /js/jquery.min.js ........................................................................ ~ 2s
  2026-04-18 09:09:36 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:36 /hrm/employees ........................................................................... ~ 2s
  2026-04-18 09:09:37 /translations/ar ......................................................................... ~ 2s
  2026-04-18 09:09:36 /manifest.json ........................................................................... ~ 3s
  2026-04-18 09:09:38 /translations/en ......................................................................... ~ 1s
